study,variable_id,outcome_type,denominator,derivation,source_questions,notes
rct,birth_pi_wait_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=fathers should not wait around the place of the birth while the woman is in labor and giving birth to their child, 2=fathers should wait around the place of the birth while the woman is in labor and giving birth to their child",i3300,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,birth_pi_wait_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=fathers should not wait around the place of the birth while the woman is in labor and giving birth to their child, 2=fathers should wait around the place of the birth while the woman is in labor and giving birth to their child",i3300,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,birth_pi_wait_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=fathers should not wait around the place of the birth while the woman is in labor and giving birth to their child, 2=fathers should wait around the place of the birth while the woman is in labor and giving birth to their child",i3300,
rct,birth_pi_wait_ka_w4,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=fathers should not wait around the place of the birth while the woman is in labor and giving birth to their child, 2=fathers should wait around the place of the birth while the woman is in labor and giving birth to their child",i3300,MIRRORED from birth_pi_wait_ka_w3; derivation applies analogously with the wave window shifted; verify against actual data files
rct,birth_pi_wait_w1,practice,all respondents with a complete survey and a new child <=5 years old reported at wave 1,"999=refused, 0=don’t know if father waited at birthplace, 1=father did not wait at birthplace, 2=father waited at birthplace",f2900,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,birth_pi_wait_w2,practice,all respondents with a complete survey and a child born since 2018-09-01 (after the end of the intervention),"999=refused, 0=don’t know if father waited at birthplace, 1=father did not wait at birthplace, 2=father waited at birthplace",f2900,MIRRORED from birth_pi_wait_w3; derivation applies analogously with the wave window shifted; verify against actual data files
rct,birth_pi_wait_w3,practice,all respondents with a complete survey and a child born since 2018-09-01 (after the end of the intervention),"999=refused, 0=don’t know if father waited at birthplace, 1=father did not wait at birthplace, 2=father waited at birthplace",f2900,
rct,building_id_w1,,,building id of respondent at wave 1,,source row used format A (description-only)
rct,building_id_w2,,,building id of respondent at wave 2,,source row used format A (description-only)
rct,building_id_w3,,,building id of respondent at wave 3,,source row used format A (description-only)
rct,cough_child_care_w1,practice,all respondents with a complete survey and a child <=5 years old at wave 1 who had an illness with a cough in the past 4 weeks,"999=refused, 0=don’t know if child had cough or whether treatment sought, 1= child had illness with a cough, no treatment sought, 2=child had illness with a cough, treatment sought",f9400,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,cough_child_care_w2,practice,all respondents with a complete survey and a living new child reported at wave 2 or living youngest child reported at wave 2 baseline if dob<2015-09-01 who had an illness with a cough in the past 4 weeks,"999=refused, 0=don’t know if child had cough or whether treatment sought, 1= child had illness with a cough, no treatment sought, 2=child had illness with a cough, treatment sought",f9400,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,cough_child_care_w3,practice,all respondents with a complete survey and a child <=5 years old at wave 3 who had an illness with a cough in the past 4 weeks,"999=refused, 0=don’t know if child had cough or whether treatment sought, 1= child had illness with a cough, no treatment sought, 2=child had illness with a cough, treatment sought","f9400, p2600",
rct,cough_child_w1,practice,all respondents with a complete survey and a child <=5 years old,"999=refused, 0=don’t know if child had cough, 1=child did not have cough in the past 4 weeks, 2= child had cough in the past 4 weeks",f8900,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,cough_child_w3,practice,all respondents with a complete survey and a child <=5 years old at wave 3,"999=refused, 0=don’t know if child had cough, 1=child did not have cough in the past 4 weeks, 2= child had cough in the past 4 weeks","f8900, p2100",
rct,date_of_birth,,,date of birth of respondent,,source row used format A (description-only)
rct,decide_birth_w1,practice,all respondents with a complete survey and a new child <=5 years old reported at wave 1,"999=refused, 0=don't know who decided, 1= someone other than respondent or respondent and partner jointly (women) or partner or respondent and partner jointly (men) decided, 2= respondent or respondent and partner jointly (women) or partner or respondent and partner jointly (men) decided",f2800,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,decide_birth_w2,practice,all respondents with a complete survey and a new child reported at wave 2 or youngest child reported at wave 2 baseline if dob<2015-09- 01,"999=refused, 0=don't know who decided, 1= someone other than respondent or respondent and partner jointly (women) or partner or respondent and partner jointly (men) decided, 2= respondent or respondent and partner jointly (women) or partner or respondent and partner jointly (men) decided",f2800,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,decide_birth_w3,practice,all respondents with a complete survey and a child born since 2018-09-01 (after the end of the intervention),"999=refused, 0=don't know who decided, 1= someone other than respondent or respondent and partner jointly (women) or partner or respondent and partner jointly (men) decided, 2= respondent or respondent and partner jointly (women) or partner or respondent and partner jointly (men) decided",f2800,
rct,dia_child_food_w1,practice,all respondents with a complete survey and a child <=5 years old at wave 1 who had diarrhea in the past 4 weeks,"999=refused, 0=don’t know how much child was given to eat, 1=child was given less or nothing to eat, 2=child was given more or the same to eat",f8100,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,dia_child_food_w2,practice,all respondents with a complete survey and a living new child reported at wave 2 or living youngest child reported at wave 2 baseline if dob<2015-09-01 who had diarrhea in the past 4 weeks,"999=refused, 0=don’t know how much child was given to eat, 1=child was given less or nothing to eat, 2=child was given more or the same to eat",f8100,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,dia_child_food_w3,practice,all respondents with a complete survey and a child <=5 years old at wave 3 who had diarrhea in the past 4 weeks,"999=refused, 0=don’t know how much child was given to eat, 1=child was given less or nothing to eat, 2=child was given more or the same to eat","f8100, p1300",
rct,dia_child_liquid_w1,practice,all respondents with a complete survey and a child <=5 years old at wave 1 who had diarrhea in the past 4 weeks,"999=refused, 0=don’t know how much child was given to drink, 1=child was given less or nothing to drink, 2=child was given more or the same to drink",f8000,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,dia_child_liquid_w2,practice,all respondents with a complete survey and a child <=5 years old at wave 3 who had diarrhea in the past 4 weeks,"999=refused, 0=don’t know how much child was given to drink, 1=child was given less or nothing to drink, 2=child was given more or the same to drink","f8000, p1200",MIRRORED from dia_child_liquid_w3; derivation applies analogously with the wave window shifted; verify against actual data files
rct,dia_child_liquid_w3,practice,all respondents with a complete survey and a child <=5 years old at wave 3 who had diarrhea in the past 4 weeks,"999=refused, 0=don’t know how much child was given to drink, 1=child was given less or nothing to drink, 2=child was given more or the same to drink","f8000, p1200",
rct,dia_child_ort_w1,practice,all respondents with a complete survey and a child <=5 years old at wave 1 who had diarrhea in the past 4 weeks,"999=refused, 0=don’t know if gave child ort, 1=no ort given to child, 2=gave child ort",f8300,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,dia_child_ort_w2,practice,all respondents with a complete survey and a living new child reported at wave 2 or living youngest child reported at wave 2 baseline if dob<2015-09-01 who had diarrhea in the past 4 weeks,"999=refused, 0=don’t know if gave child ort, 1=no ort given to child, 2=gave child ort",f8300,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,dia_child_ort_w3,practice,all respondents with a complete survey and a child <=5 years old at wave 3 who had diarrhea in the past 4 weeks,"999=refused, 0=don’t know if gave child ort, 1=no ort given to child, 2=gave child ort","f8300, p1500",
rct,dia_child_treat_w1,practice,all respondents with a complete survey and a child <=5 years old at wave 1 who had diarrhea in the past 4 weeks,"999=refused, 0=don’t know if given proper treatment, 1=no proper treatment given, 2=gave proper treatment",f8500,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,dia_child_treat_w2,practice,all respondents with a complete survey and a living new child reported at wave 2 or living youngest child reported at wave 2 baseline if dob<2015-09-01 who had diarrhea in the past 4 weeks,"999=refused, 0=don’t know if given proper treatment, 1=no proper treatment given, 2=gave proper treatment",f8500,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,dia_child_treat_w3,practice,all respondents with a complete survey and a child <=5 years old at wave 3 who had diarrhea in the past 4 weeks,"999=refused, 0=don’t know if given proper treatment, 1=no proper treatment given, 2=gave proper treatment","f8500, p1700",
rct,dia_child_w1,practice,all respondents with a complete survey and a child <=5 years old,"999=refused, 0=don’t know if child had diarrhea, 1=child did not have diarrhea in the past 4 weeks, 2= child had diarrhea in the past 4 weeks",f7800,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,dia_child_w3,practice,all respondents with a complete survey and a child <=5 years old at wave 3,"999=refused, 0=don’t know if child had diarrhea, 1=child did not have diarrhea in the past 4 weeks, 2= child had diarrhea in the past 4 weeks","f7800, p1000",
rct,dia_child_zinc_days_w1,practice,all respondents with a complete survey and a child <=5 years old at wave 1 who had diarrhea in the past 4 weeks,"999=refused, 0=don’t know if gave zinc or for how many days, 1=no zinc given or given for other length of time, 2=gave zinc for 10-14 days","f8600, f8700",AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,dia_child_zinc_days_w2,practice,all respondents with a complete survey and a living new child reported at wave 2 or living youngest child reported at wave 2 baseline if dob<2015-09-01 who had diarrhea in the past 4 weeks,"999=refused, 0=don’t know if gave zinc or for how many days, 1=no zinc given or given for other length of time, 2=gave zinc for 10-14 days","f8600, f8700",AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,dia_child_zinc_days_w3,practice,all respondents with a complete survey and a child <=5 years old at wave 3 who had diarrhea in the past 4 weeks,"999=refused, 0=don’t know if gave zinc or for how many days, 1=no zinc given or given for other length of time, 2=gave zinc for 10-14 days","f8600, f8700, p1800, p1900",
rct,dia_child_zinc_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=incorrect timing for taking zinc suggested, 2=you should take zinc for 10-14 days to treat diarrhea",i2800,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,dia_ort_w1,practice,all respondents with a complete survey who had diarrhea in the past 4 weeks,"999=refused, 0=don’t know if took ort, 1=no ort, 2=took ort",c0700,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,dia_ort_w2,practice,all respondents with a complete survey who had diarrhea in the past 4 weeks,"999=refused, 0=don’t know if took ort, 1=no ort, 2=took ort",c0700,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,dia_ort_w3,practice,all respondents with a complete survey who had diarrhea in the past 4 weeks,"999=refused, 0=don’t know if took ort, 1=no ort, 2=took ort",c0700,
rct,dia_ort_w4,practice,all respondents with a complete survey who had diarrhea in the past 4 weeks,"999=refused, 0=don’t know if took ort, 1=no ort, 2=took ort",c0700,MIRRORED from dia_ort_w3; derivation applies analogously with the wave window shifted; verify against actual data files
rct,dia_prev_bf_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=correct answer not given, 2=breastfeeding can prevent someone from getting diarrhea",i3000e,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,dia_prev_bf_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=correct answer not given, 2=breastfeeding can prevent someone from getting diarrhea",i3000e,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,dia_prev_bf_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=correct answer not given, 2=breastfeeding can prevent someone from getting diarrhea",i3000e,
rct,dia_prev_bf_ka_w4,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=correct answer not given, 2=breastfeeding can prevent someone from getting diarrhea",i3000e,MIRRORED from dia_prev_bf_ka_w3; derivation applies analogously with the wave window shifted; verify against actual data files
rct,dia_prev_wash_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=correct answer not given, 2=washing hands regularly can prevent someone from getting diarrhea",i3000b,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,dia_prev_wash_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=correct answer not given, 2=washing hands regularly can prevent someone from getting diarrhea",i3000b,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,dia_prev_wash_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=correct answer not given, 2=washing hands regularly can prevent someone from getting diarrhea",i3000b,
rct,dia_prev_wash_ka_w4,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=correct answer not given, 2=washing hands regularly can prevent someone from getting diarrhea",i3000b,MIRRORED from dia_prev_wash_ka_w3; derivation applies analogously with the wave window shifted; verify against actual data files
rct,dia_prev_zinc_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=correct answer not given, 2=zinc tablets or syrup can prevent someone from getting diarrhea",i3000f,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,dia_prev_zinc_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=correct answer not given, 2=zinc tablets or syrup can prevent someone from getting diarrhea",i3000f,MIRRORED from dia_prev_zinc_ka_w3; derivation applies analogously with the wave window shifted; verify against actual data files
rct,dia_prev_zinc_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=correct answer not given, 2=zinc tablets or syrup can prevent someone from getting diarrhea",i3000f,
rct,dia_prev_zinc_ka_w4,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=correct answer not given, 2=zinc tablets or syrup can prevent someone from getting diarrhea",i3000f,MIRRORED from dia_prev_zinc_ka_w3; derivation applies analogously with the wave window shifted; verify against actual data files
rct,dia_treat_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=incorrect answer given, 2=respondent only provided correct answers regarding proper treatment of diarrhea",i2700,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,dia_treat_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=incorrect answer given, 2=respondent only provided correct answers regarding proper treatment of diarrhea",i2700,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,dia_treat_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=incorrect answer given, 2=respondent only provided correct answers regarding proper treatment of diarrhea",i2700,
rct,dia_treat_w1,practice,all respondents with a complete survey who had diarrhea in the past 4 weeks,"999=refused, 0=don’t know if took treatment, 1=took an inappropriate treatment or no treatment, 2=took an appropriate treatment",c0900,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,dia_treat_w2,practice,all respondents with a complete survey who had diarrhea in the past 4 weeks,"999=refused, 0=don’t know if took treatment, 1=took an inappropriate treatment or no treatment, 2=took an appropriate treatment",c0900,MIRRORED from dia_treat_w3; derivation applies analogously with the wave window shifted; verify against actual data files
rct,dia_treat_w3,practice,all respondents with a complete survey who had diarrhea in the past 4 weeks,"999=refused, 0=don’t know if took treatment, 1=took an inappropriate treatment or no treatment, 2=took an appropriate treatment",c0900,
rct,dia_treat_w4,practice,all respondents with a complete survey who had diarrhea in the past 4 weeks,"999=refused, 0=don’t know if took treatment, 1=took an inappropriate treatment or no treatment, 2=took an appropriate treatment",c0900,MIRRORED from dia_treat_w3; derivation applies analogously with the wave window shifted; verify against actual data files
rct,dia_w1,practice,all respondents with a complete survey,"999=refused, 0=don’t know if had diarrhea, 1=respondent did not have diarrhea in past 4 weeks, 2=respondent had diarrhea in past 4 weeks",c0500,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,dia_w2,practice,all respondents with a complete survey,"999=refused, 0=don’t know if had diarrhea, 1=respondent did not have diarrhea in past 4 weeks, 2=respondent had diarrhea in past 4 weeks",c0500,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,dia_w3,practice,all respondents with a complete survey,"999=refused, 0=don’t know if had diarrhea, 1=respondent did not have diarrhea in past 4 weeks, 2=respondent had diarrhea in past 4 weeks",c0500,
rct,dia_w4,practice,all respondents with a complete survey,"999=refused, 0=don’t know if had diarrhea, 1=respondent did not have diarrhea in past 4 weeks, 2=respondent had diarrhea in past 4 weeks",c0500,MIRRORED from dia_w3; derivation applies analogously with the wave window shifted; verify against actual data files
rct,dia_zinc_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=incorrect timing for taking zinc suggested, 2=you should take zinc for 10-14 days to treat diarrhea",i2800,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,dia_zinc_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=incorrect timing for taking zinc suggested, 2=you should take zinc for 10-14 days to treat diarrhea",i2800,
rct,dosage,,,dosage of treatment applied to village,,source row used format A (description-only)
rct,folic_acid_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don’t know, 1=a woman should start taking folic acid after becoming pregnant, after birth or never, 2=a women should start taking folic acid tablets before becoming pregnant",i1200,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,folic_acid_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don’t know, 1=a woman should start taking folic acid after becoming pregnant, after birth or never, 2=a women should start taking folic acid tablets before becoming pregnant",i1200,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,folic_acid_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don’t know, 1=a woman should start taking folic acid after becoming pregnant, after birth or never, 2=a women should start taking folic acid tablets before becoming pregnant",i1200,
rct,folic_acid_ka_w4,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don’t know, 1=a woman should start taking folic acid after becoming pregnant, after birth or never, 2=a women should start taking folic acid tablets before becoming pregnant",i1200,MIRRORED from folic_acid_ka_w3; derivation applies analogously with the wave window shifted; verify against actual data files
rct,folic_acid_w1,practice,all women 15+ with a complete survey,"999=refused, 0=don't know if taking or don’t know frequency, 1=not taking or not taking every day, 2=taking everyday","e1400, e1500",AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,folic_acid_w2,practice,all women 15+ with a complete survey,"999=refused, 0=don't know if taking or don’t know frequency, 1=not taking or not taking every day, 2=taking everyday","e1400, e1500",AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,folic_acid_w3,practice,all women 15+ with a complete survey,"999=refused, 0=don't know if taking or don’t know frequency, 1=not taking or not taking every day, 2=taking everyday","e1400, e1500",
rct,folic_acid_w4,practice,all women 15+ with a complete survey,"999=refused, 0=don't know if taking or don’t know frequency, 1=not taking or not taking every day, 2=taking everyday","e1400, e1500",MIRRORED from folic_acid_w3; derivation applies analogously with the wave window shifted; verify against actual data files
rct,friend_treatment,,,whether village received friend treatment (0/1),,source row used format A (description-only)
rct,gender,,,gender of respondent,,source row used format A (description-only)
rct,household_id_w1,,,household id of respondent at wave 1,,source row used format A (description-only)
rct,household_id_w2,,,household id of respondent at wave 2,,source row used format A (description-only)
rct,household_id_w3,,,household id of respondent at wave 3,,source row used format A (description-only)
rct,household_target_w1,,,whether the household respondent lived in at wave 1 was initially selected for the intervention,,source row used format A (description-only)
rct,household_target_w2,,,whether the household respondent lived in at wave 2 was initially selected for the intervention,,source row used format A (description-only)
rct,household_target_w3,,,whether the household respondent lived in at wave 3 was initially selected for the intervention,,source row used format A (description-only)
rct,household_target_w4,,,whether the household respondent lived in at wave 3 was initially selected for the intervention,,MIRRORED from household_target_w3; derivation applies analogously with the wave window shifted; verify against actual data files. Source row notes: source row used format A (description-only)
rct,moved_building_w3,,,whether respondent moved building between time of wave 3 survey and previous survey or census,,source row used format A (description-only)
rct,moved_village_w3,,,whether respondent moved village between time of wave 3 survey and previous survey or census,,source row used format A (description-only)
rct,municipality_w1,,,municipality of respondent at wave 1,,source row used format A (description-only)
rct,municipality_w2,,,municipality of respondent at wave 2,,source row used format A (description-only)
rct,municipality_w3,,,municipality of respondent at wave 3,,source row used format A (description-only)
rct,new_building_w3,,,whether respondent moved to a newly created building between time of wave 3 survey and previous survey or census,,source row used format A (description-only)
rct,new_respondent_w3,,,whether respondent was newly added to census at wave 3,,source row used format A (description-only)
rct,nutr_child_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=incorrect answer given, 2=children should take one nutritional packet, once per day",i2600,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,nutr_child_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=incorrect answer given, 2=children should take one nutritional packet, once per day",i2600,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,nutr_child_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=incorrect answer given, 2=children should take one nutritional packet, once per day",i2600,
rct,pcc_fajero_w1,practice,all respondents with a complete survey and a new child <=5 years old reported at wave 1,"999=refused, 0=don’t know if fajero was used, 1=used fajero in first 7 days, 2=did not use a fajero in first 7 days",f5000,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,pcc_fajero_w2,practice,all respondents with a complete survey and a new child reported at wave 2 or youngest child reported at wave 2 baseline if dob<2015-09- 01,"999=refused, 0=don’t know if fajero was used, 1=used fajero in first 7 days, 2=did not use a fajero in first 7 days",f5000,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,pcc_fajero_w3,practice,all respondents with a complete survey and a child born since 2018-09-01 (after the end of the intervention),"999=refused, 0=don’t know if fajero was used, 1=used fajero in first 7 days, 2=did not use a fajero in first 7 days",f5000,
rct,pcc_fajero_w4,practice,all respondents with a complete survey and a child born since 2018-09-01 (after the end of the intervention),"999=refused, 0=don’t know if fajero was used, 1=used fajero in first 7 days, 2=did not use a fajero in first 7 days",f5000,MIRRORED from pcc_fajero_w3; derivation applies analogously with the wave window shifted; verify against actual data files
rct,pcc_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=incorrect answer given, 2=respondent only provided correct answers regarding proper cord care",i2200,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,pcc_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=incorrect answer given, 2=respondent only provided correct answers regarding proper cord care",i2200,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,pcc_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=incorrect answer given, 2=respondent only provided correct answers regarding proper cord care",i2200,
rct,pcc_w1,practice,all respondents with a complete survey and a new child <=5 years old reported at wave 1,"999=refused, 0=don’t know what was applied to cord stump, 1=potentially harmful substance/practice applied to cord stump, 2=only acceptable substance/practice applied to cord stump",f4900,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,pcc_w2,practice,all respondents with a complete survey and a new child reported at wave 2 or youngest child reported at wave 2 baseline if dob<2015-09- 01,"999=refused, 0=don’t know what was applied to cord stump, 1=potentially harmful substance/practice applied to cord stump, 2=only acceptable substance/practice applied to cord stump",f4900,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,pcc_w3,practice,all respondents with a complete survey and a child born since 2018-09-01 (after the end of the intervention),"999=refused, 0=don’t know what was applied to cord stump, 1=potentially harmful substance/practice applied to cord stump, 2=only acceptable substance/practice applied to cord stump",f4900,
rct,pcc_w4,practice,all respondents with a complete survey and a child born since 2018-09-01 (after the end of the intervention),"999=refused, 0=don’t know what was applied to cord stump, 1=potentially harmful substance/practice applied to cord stump, 2=only acceptable substance/practice applied to cord stump",f4900,MIRRORED from pcc_w3; derivation applies analogously with the wave window shifted; verify against actual data files
rct,pi_bath_w1,practice,all respondents with a complete survey and a child <=5 years old at wave 1,"999=refused, 0=don't know if father participated in activity, 1=father did not participate in activity, 2=father bathed child",f7700c,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,pi_bath_w2,practice,all respondents with a complete survey and a child born since 2018-09-01 (after the end of the intervention),"999=refused, 0=don't know if father participated in activity, 1=father did not participate in activity, 2=father bathed child",f7700c,MIRRORED from pi_bath_w3; derivation applies analogously with the wave window shifted; verify against actual data files
rct,pi_bath_w3,practice,all respondents with a complete survey and a child born since 2018-09-01 (after the end of the intervention),"999=refused, 0=don't know if father participated in activity, 1=father did not participate in activity, 2=father bathed child",f7700c,
rct,pi_clinic_w1,practice,all respondents with a complete survey and a child <=5 years old at wave 1,"999=refused, 0=don't know if father participated in activity, 1=father did not participate in activity, 2=father took child to the clinic",f7700e,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,pi_clinic_w2,practice,all respondents with a complete survey and a living new child reported at wave 2 or living youngest child reported at wave 2 baseline if dob<2015-09-01,"999=refused, 0=don't know if father participated in activity, 1=father did not participate in activity, 2=father took child to the clinic",f7700e,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,pi_clinic_w3,practice,all respondents with a complete survey and a child born since 2018-09-01 (after the end of the intervention),"999=refused, 0=don't know if father participated in activity, 1=father did not participate in activity, 2=father took child to the clinic",f7700e,
rct,pi_feed_w1,practice,all respondents with a complete survey and a child <=5 years old at wave 1,"999=refused, 0=don't know if father participated in activity, 1=father did not participate in activity, 2=father fed child",f7700b,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,pi_feed_w2,practice,all respondents with a complete survey and a living new child reported at wave 2 or living youngest child reported at wave 2 baseline if dob<2015-09-01,"999=refused, 0=don't know if father participated in activity, 1=father did not participate in activity, 2=father fed child",f7700b,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,pi_feed_w3,practice,all respondents with a complete survey and a child born since 2018-09-01 (after the end of the intervention),"999=refused, 0=don't know if father participated in activity, 1=father did not participate in activity, 2=father fed child",f7700b,
rct,pi_hold_w1,practice,all respondents with a complete survey and a child <=5 years old at wave 1,"999=refused, 0=don't know if father participated in activity, 1=father did not participate in activity, 2=father held child",f7700a,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,pi_hold_w2,practice,all respondents with a complete survey and a living new child reported at wave 2 or living youngest child reported at wave 2 baseline if dob<2015-09-01,"999=refused, 0=don't know if father participated in activity, 1=father did not participate in activity, 2=father held child",f7700a,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,pi_hold_w3,practice,all respondents with a complete survey and a child born since 2018-09-01 (after the end of the intervention),"999=refused, 0=don't know if father participated in activity, 1=father did not participate in activity, 2=father held child",f7700a,
rct,pi_medicine_w1,practice,all respondents with a complete survey and a child <=5 years old at wave 1,"999=refused, 0=don't know if father participated in activity, 1=father did not participate in activity, 2=father gave child medicine",f7700f,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
